sentiment,text,clean_text,sentiment_confidence,topic
negative,Nasty People! Nasty Film!: Entertaining in places but spoilt by lots of crudeness and dirty talk that degrades woman. In the end I found nothing memorable or funny about this film. Sad for Adam to seem him in such a trashy film.,nasti peopl nasti film entertain place spoilt lot crude dirti talk degrad woman end found noth memor funni film sad adam seem trashi film,0.9954,284
negative,zero star: those guys ARE OVERATED!! ARE THEY REALLY FUNNY? NOPE. STUDIOS PAY THEM MILLIONS OF DLSS FOR THIS!!! C'MON AMERICA.. WAKE UP!!!,zero star guy over realli funni nope studio pay million dlss cmon america wake,0.9996,-1
negative,"Dramedy: This movie was perhaps Adam Sandler's worst effort. He seemed tasked with the burden of playing a man who was apathetic, but he came across as being apathetic about the role. The result was that his performance never engaged viewers to want to pull for him, which made the climax of the film lackluster. It was occasionally funny, considering the title and cast of comedians, who played comedians. The last 45 minutes, the film changes pace entirely, as if it wasn't floundering enough, and drops its attempts at weak comedy to push even weaker drama. Despite all the big names and cameo appearances, the only real stand out was Leslie Mann, who plays Sandler's ex. She was the only lively force in the cast, but sadly, alone she wasn't enough to bring it back into focus. You're not missing a thing.",dramedi movi perhap adam sandler worst effort seem task burden play man apathet came across apathet role result perform never engag viewer want pull made climax film lacklust occasion funni consid titl cast comedian play comedian last 45 minut film chang pace entir wasnt flounder enough drop attempt weak comedi push even weaker drama despit big name cameo appear real stand lesli mann play sandler ex live forc cast sad alon wasnt enough bring back focus your miss thing,0.9992,-1
negative,"The Not so Funny People: I love Leslie Mann and Eric Bana, but this is probably one of the worst movies I've ever seen! It was like 3 or 4 movie/plots/stories put together and just kept climaxing then letting down then rising action again and climax and letting down; over and over! I just kept wondering when it was going to end. I should have walked out like so many others did.Some may like, but it's NOT my cup of tea!",funni peopl love lesli mann eric bana probabl one worst movi ive ever seen like 3 4 movieplotsstori put togeth kept climax let rise action climax let kept wonder go end walk like mani other didsom may like cup tea,0.9997,-1
negative,"What happend Sandler?: His movies seem to be going down hill. The only thing i found funny about this movie was Eminem snapping in it. Other then that, it is just not that funny. Dont let it trick you, only see this if its free.",happend sandler movi seem go hill thing found funni movi eminem snap funni dont let trick see free,0.9997,-1
positive,"serious comedy: FUNNY PEOPLE is somewhat compelling and engaging film about a comic with a terminal illness that almost kills him and destroys his lifestyle and how he fights it and comesback to enjoy life,his friends and a beautifull woman he meets.",serious comedi funni peopl somewhat compel engag film comic termin ill almost kill destroy lifestyl fight comesback enjoy lifehi friend beautiful woman meet,0.9992,-1
negative,"Long, somewhat dull and unfocused: This is not a typical Adam Sandler movie, which is not necessarily a bad thing, but it kind of is here. First of all it's not funny. It's about ""comedy"" but I wouldn't consider the movie itself to be a comedy, although there are a few funny things in it I suppose. This movie seems like it's all over the place. It has a long runtime but it doesnt really accomplish much. Some people might like the story, but it was pretty dull to me.",long somewhat dull unfocus typic adam sandler movi necessarili bad thing kind first funni comedi wouldnt consid movi comedi although funni thing suppos movi seem like place long runtim doesnt realli accomplish much peopl might like stori pretti dull,0.9996,274
negative,"WHICH JOKE DID YOU FIND FUNNY?: Adam Sadler plays an unlikable comedian, George Simmons, who finds out he may be terminal with AML and tries an experimental drug. He decides to do stand up again when he meets comedian wanna-be Ira Wright (Seth Rogen) attempting stand-up. Sadler is impressed by Ira and hires him to write jokes and to be his personal go-fer. Ira finds out about the illness and convinces George to tell his family and friends about it. George plays the death card to patch up relationships, then suddenly he isn't going to die anymore. George re-examines his life, but even at mid-life he is still an immature a-hole. Everyone has sex but Ira, which seems to be a sad joke.I found the jokes and humor to be at best, lame. The language was crude and sexual. Brief nudity. Perhaps what is best about the movie is that it makes sit-coms look really lame. If you think a guy saying ""tweet"" over and over again, spinning around in a circle is funny, then this movie is for you.",joke find funni adam sadler play unlik comedian georg simmon find may termin aml tri experiment drug decid stand meet comedian wannab ira wright seth rogen attempt standup sadler impress ira hire write joke person gofer ira find ill convinc georg tell famili friend georg play death card patch relationship sudden isnt go die anymor georg reexamin life even midlif still immatur ahol everyon sex ira seem sad jokei found joke humor best lame languag crude sexual brief nuditi perhap best movi make sitcom look realli lame think guy say tweet spin around circl funni movi,0.9983,88
positive,"Far better than its reputation, and well worth a look: Intelligent, funny, sad, real, with a terrific dramatic performance by Adam Sandler.For a lot of it's length I thought it would be a truly great film, but some clunky, almostsit-com plot turns in the last 1/4, a little too much length, and not-quite-there supportingperformances in key roles hold it back and keep it a very good movie, not a great one.None-the-less, far better than the often cold response in got in most of the mainstream press.",far better reput well worth look intellig funni sad real terrif dramat perform adam sandlerfor lot length thought would truli great film clunki almostsitcom plot turn last 14 littl much length notquitether supportingperform key role hold back keep good movi great onenonetheless far better often cold respons got mainstream press,0.9971,-1
negative,"Starts out with promise, but then goes downhill.: Too bad Adam Sandler could not have been given a better script. Funny People starts with promise as a Jim Carrey Man on the Moon type film and then drifts oddly into some sort of romantic comedy with repetitive c**k jokes. There are two movies here made from what seems like two first drafts. Maybe it is a marketing problem. Or, maybe just lazy writing. Sandler does a great job showing off the dark side of a comedian. Maybe Funny People would have been better as a straight drama.",start promis goe downhil bad adam sandler could given better script funni peopl start promis jim carrey man moon type film drift odd sort romant comedi repetit ck joke two movi made seem like two first draft mayb market problem mayb lazi write sandler great job show dark side comedian mayb funni peopl would better straight drama,0.9968,88
negative,"Not so Funny people!: Wow, I usually like Adam Sandler & Judd Apatow/Seth Rogen films but this one came and left the theaters before I could get a chance to see it. I don't think I laughed once during the entire movie. Not even a chuckle. It seems as if no one was having any fun making this film. The unnecessary over the top crudeness of Apatow's ensemble doesn't seem to work with Sandler's schtick. I loved ""Knocked Up"" and ""40 Year Old Virgin"" but there doesn't seem to bee much chemistry with this group. I was waiting for ""Bruno"" to show up and throw in some more unnecessary genital conversation. I almost bought this, I'm so glad I only rented it.",funni peopl wow usual like adam sandler judd apatowseth rogen film one came left theater could get chanc see dont think laugh entir movi even chuckl seem one fun make film unnecessari top crude apatow ensembl doesnt seem work sandler schtick love knock 40 year old virgin doesnt seem bee much chemistri group wait bruno show throw unnecessari genit convers almost bought im glad rent,0.9995,88
negative,"Obviously, not Adam Sandler's best: An acceptable movie, with some good moments by Adam Sandler, and some of the other new American comedy guys; but very far from his really ""funny people"" involved movies, like ""ANGER MANAGEMENT"" (with Jack Nicholson) or the hilarious ""LITTLE NICKY"".",obvious adam sandler best accept movi good moment adam sandler new american comedi guy far realli funni peopl involv movi like anger manag jack nicholson hilari littl nicki,0.996,6
negative,"Not what I expected...: I seriously did not expect a dramatic look into the mind of a comedian when I rented this movie. They marketed this movie like the Forty Year Old Virigin and Knocked Up! When I rented the movie I expected a lot of humour and with so many funny actors I put way too much faith in it. My wife and I was so disappointed that we stopped watching it. I don't watch a lot of TV, but when I do watch something I want it to be worth while.If you're into these artsy films about the serious life of people in the spotlight, then you're going to like this film. However, if you're looking for humour like Adam Sandler's previous films (i.e. Happy Gilmore, etc) then you can forget about it.I give this film 1 star because this is not my kind of movie and it was advertised like a great comedy film not drama film. :/",expect serious expect dramat look mind comedian rent movi market movi like forti year old virigin knock rent movi expect lot humour mani funni actor put way much faith wife disappoint stop watch dont watch lot tv watch someth want worth whileif your artsi film serious life peopl spotlight your go like film howev your look humour like adam sandler previous film ie happi gilmor etc forget iti give film 1 star kind movi advertis like great comedi film drama film,0.9926,455
negative,"Couldn't give it less than one star....or i would've!!!!: Not much to say about this movie...i am a huge Adam Sandler fan, and i love him in anything....but this movie was looooong and booooring!!! The comedy skits in the movie weren't funny...at all...i guess if you enjoy hearing about masturbating...cocks...and farting....you would like it. Like i said, not much to say....i paid to watch it on my Suddenlink Direct Demand and i wish i could have my 3.99 back!!!!",couldnt give less one staror wouldv much say moviei huge adam sandler fan love anythingbut movi looooong boooor comedi skit movi werent funnyat alli guess enjoy hear masturbatingcocksand fartingyou would like like said much sayi paid watch suddenlink direct demand wish could 399 back,0.9975,6
negative,Absolutely NOTHING Funny !: This is one of the worst movies I have seen. The dialogue is awful. There is ZERO humor. All the characters are boring and completely humorless.What a loser movie!!!!!!!!!!!!!,absolut noth funni one worst movi seen dialogu aw zero humor charact bore complet humorlesswhat loser movi,0.9998,88
negative,Worst movie I've ever seen: This movie was HORRIBLE! I don't know how anyone could give it 5 stars. This movie was the worst 2 hours of my life. I expected more out of an Adam Sandler movie. I felt like I was watching 2 movies at once. Any time someone asks me about this movie I tell them it's a waste and to rent something else.,worst movi ive ever seen movi horribl dont know anyon could give 5 star movi worst 2 hour life expect adam sandler movi felt like watch 2 movi time someon ask movi tell wast rent someth els,0.9998,31
negative,"worst film ever: I saw this movie with my friend a couple of days ago. i said to her, this is real stupid, i could stop watching it right now and i could care less about the ending. She said, ""we saw this movie already"" and she is telling me what happens next so we start getting into an argument, she claims WE saw it and i said, Vat ? i am getting alzheimers?Finally we figured it out. we started to watch this movie together about 3 months ago and i lost interest and i zonked out.adam sandler and all the whos who in jewish comedy were funny in other movies. but this one really eats the bird!skip it!!!!!!!!!!!",worst film ever saw movi friend coupl day ago said real stupid could stop watch right could care less end said saw movi alreadi tell happen next start get argument claim saw said vat get alzheimersfin figur start watch movi togeth 3 month ago lost interest zonk outadam sandler whos jewish comedi funni movi one realli eat birdskip,0.9997,6
negative,"The L O N G E S T movie... EVER!: Anything with Adam Sandler in it is supposed to be funny. This however, just, well, wasn't. I really do believe that this movie had potential, but there was so much going on, so many stories within the story, that they could have made 3 movies out of it.It's 2 and a half hours long. That's about an hour and a half too long for the main story plot. This movie honestly seemed longer than Titanic, or Gone With The Wind because it is so long and drawn out.There is very little humor in Funny People. The only good thing about it is all the major stars that pop up here and there, which is probably why, in my opinion at least, that this movie even made it to the big screen and didn't go straight to DVD.",l n g e movi ever anyth adam sandler suppos funni howev well wasnt realli believ movi potenti much go mani stori within stori could made 3 movi itit 2 half hour long that hour half long main stori plot movi honest seem longer titan gone wind long drawn outther littl humor funni peopl good thing major star pop probabl opinion least movi even made big screen didnt go straight dvd,0.9994,6
negative,"profanity the movie!!! or profanity and the degenerates.!!!: i cannot believe that an intelligent actor like adam sandler would degrade himself by acting in a degenerate , trailer trash movie like this,but i guess money makes some people do things that are beneath them. this movie is as funny as a sewer, all it is comprised of is endless and pointless profanity,virtually ever second word. the writer who has very little ,if not any intelligents, has substituted profanity for lack of intelligent writing.is the endless profanity suppose to make the male lead charactors appear more manly?. yes it is true that quentin tarantino movies has there fair share of profanity. however his movies use of profanity is justified as it is incorporated with intelligent writing. if you have very little or no intelligents or are a degenerate and trailer trash this movie will appeal to you.",profan movi profan degener cannot believ intellig actor like adam sandler would degrad act degener trailer trash movi like thisbut guess money make peopl thing beneath movi funni sewer compris endless pointless profanityvirtu ever second word writer littl intellig substitut profan lack intellig writingi endless profan suppos make male lead charactor appear man yes true quentin tarantino movi fair share profan howev movi use profan justifi incorpor intellig write littl intellig degener trailer trash movi appeal,0.9933,-1
negative,Seth Kept this movie from getting a 'ZERO' star rating!!: A truly great example - of how terrible some movies have become!! Vulgar!! Offensive. Unnessisary nudity!! I usually love Adam Sandler - and can't believe he'd stoop so low in this role. Seth is highly likeable in this - but still swears and lowers himself as well. The woman who plays Adams 'romantic interest' is mostly great - but also stoops to swearing - blantant sexuality. The writing is the worst in this movie. This awful movie is 2 hours and 22 minutes long - but only feels like 5 hours. - And I could have spent my life doing something more interesting and exciting like watching paint dry or grass grow. I suggest skipping this movie altogether!! Tragic where movies have gone to. Much has been lost!!Scott MacNeil - comedian.,seth kept movi get zero star rate truli great exampl terribl movi becom vulgar offens unnessisari nuditi usual love adam sandler cant believ hed stoop low role seth high likeabl still swear lower well woman play adam romant interest most great also stoop swear blantant sexual write worst movi aw movi 2 hour 22 minut long feel like 5 hour could spent life someth interest excit like watch paint dri grass grow suggest skip movi altogeth tragic movi gone much lostscott macneil comedian,0.9994,6
negative,Stupid....: Honestly if you don want to hear a lot of swearing you wont like this. Let alone the story line was ridiculous. Wouldn't recommend!,stupid honest want hear lot swear wont like let alon stori line ridicul wouldnt recommend,0.9995,-1
negative,"Sandler's worst!: I normally love Sandler's movies but this was just horrible. None of it flowed right, jokes were horrible vand stupid and just all around made no sense. Don't waste your time and money on this.",sandler worst normal love sandler movi horribl none flow right joke horribl vand stupid around made sens dont wast time money,0.9997,6
negative,Not good: The movie skips a few scene transitions and once it got to chapter 15 I couldn't watch any of the rest of the movie at all and the file online said it was 'like new.' The disc itself looks clean but it will not play at all in my 2 week old player and three other players I tried it in.......,good movi skip scene transit got chapter 15 couldnt watch rest movi file onlin said like new disc look clean play 2 week old player three player tri,0.9997,195
positive,GIFT: I bought this for a Christmas present for my son. It arrived in perfect condition. He loves Adam Sandler and collects all his movies.,gift bought christma present son arriv perfect condit love adam sandler collect movi,0.9998,37
negative,waste of time: I must say I never liked Adam Sandler. There were so many more talented people who just never got a chance to be on the screen. I still don't get what's with Adam Sandler.Besides that I decided to give it a shot. It took half hour when I stopped watching.,wast time must say never like adam sandler mani talent peopl never got chanc screen still dont get what adam sandlerbesid decid give shot took half hour stop watch,0.9991,6
negative,Depressing then becomes boring: my husband and I watched this and ended up watching something else. this will be a waste of your time,depress becom bore husband watch end watch someth els wast time,0.9998,273
negative,"Please just run far FAR away from this film.: It is wayyyyyyyy too long and completely aimless. Some may call it ""complex""; but I call it crap. There are a few little laughs here and there - but nothing that would make this worth sitting through. Even when one steps away from the fact that this was not intended to just be a comedy and rather attempts to tackle some more serious content.....it still sucks. Don't waste your money. Watch ""I love you man"" or ""Grandma's Boy"" or something that is actually entertaining. I wish someone had warned me.",pleas run far far away film wayyyyyyyi long complet aimless may call complex call crap littl laugh noth would make worth sit even one step away fact intend comedi rather attempt tackl serious contentit still suck dont wast money watch love man grandma boy someth actual entertain wish someon warn,0.9291,455
negative,"THE WORST MOVIE EVER MADE!!!: Judd Apatow has reached an absolutely new level of... sucking!!! Even Adam Sandler, one of my favorite actors of all times, sucked too, big time!!! There are funny movies, there are not so funny ones, there are stupid and ridiculous flix and... there's Funny People! Its name should be changed to ... what's the word for utterly unfunny? Almost 100% of jewish actors and they couldn't pull it off? That's odd!?",worst movi ever made judd apatow reach absolut new level suck even adam sandler one favorit actor time suck big time funni movi funni one stupid ridicul flix there funni peopl name chang what word utter unfunni almost 100 jewish actor couldnt pull that odd,0.9997,6
negative,Moron: How can anybody even smile with the kind of garbage Adam Sandler ALWAYS performs?This guy is just a moronic retard.DO NOT WASTE YOUR MONEY ON HIM.,moron anybodi even smile kind garbag adam sandler alway performsthi guy moron retarddo wast money,0.998,6
negative,"NOT FUNNY!: This is what Hollywood is calling humor these days? Must of been written by the lowly out of work writers during their strike! Crude, demeaning and a waste of my time!",funni hollywood call humor day must written lowli work writer strike crude demean wast time,0.9998,88
negative,"Pretty pathetic people: The new ""stars of comedy"" make me miss the real ones. Why don't you try to learn from thy elders, like Mel Brooks, boys?Side note: Hollywood hasn't come up with real comedy since ""Meet the Spartans."" Anybody who forgot how brilliant it was needs to watch again ""I Will Survive"" at the end of the Spartans (it might still be on Youtube: SidgzLnh_W4).",pretti pathet peopl new star comedi make miss real one dont tri learn thi elder like mel brook boyssid note hollywood hasnt come real comedi sinc meet spartan anybodi forgot brilliant need watch surviv end spartan might still youtub sidgzlnhw4,0.9992,-1
negative,"great movie, movie is longer than 2hours: this is a great movie its not 40yr old virgin funny or knocked up funny but its a pretty good movie alot of famous ppl in it has alot of good funny parts 2 it. the only reason i think its not really funny is because theres none of those funny parts like knocked up of the 40yr old virgin has. dont pay attention to the reviews rent the movie or something if u like it buy it.",great movi movi longer 2hour great movi 40yr old virgin funni knock funni pretti good movi alot famous ppl alot good funni part 2 reason think realli funni there none funni part like knock 40yr old virgin dont pay attent review rent movi someth u like buy,0.7458,-1
negative,"Not entirely a comedy: I am big fan of Judd Apatow's work. i went into this hearing that its not like his other movies, that it has a more somber, serious tone. so my expectations were tempered. I liked it, i do agree with some other reviewers that it was probably a little too long, which is why I take off one star. But if you go in knowing this isnt a 40 year old virgin/knocked up style comedy then you wont be disappointed. with that being said, i can see why some people rated this poorly if thats what they thought they were going to see going in.",entir comedi big fan judd apatow work went hear like movi somber serious tone expect temper like agre review probabl littl long take one star go know isnt 40 year old virginknock style comedi wont disappoint said see peopl rate poor that thought go see go,0.9968,-1
negative,"Winning Cast, movie fell short: This movie was not an original concept. The jokes were lame, as were the performances. The writer and director disappointed the audience by using Adam Sandler, Seth Rogen and Jonah Hill as a box office draw. When in fact, it wasn't worth the money to see this film in a theatre.",win cast movi fell short movi origin concept joke lame perform writer director disappoint audienc use adam sandler seth rogen jonah hill box offic draw fact wasnt worth money see film theatr,0.9997,-1
negative,"ACTUALLY NO STARS for rating pf Funny People movie: Save your money. Your time can be MUCH better spent. This was one of the worse movies I ever sat through. Actually, I drifted away close to the end and was thankful I didn't waste that time. Its AWFUL.",actual star rate pf funni peopl movi save money time much better spent one wors movi ever sat actual drift away close end thank didnt wast time aw,0.9997,-1
negative,Not Funny People: Not worth the time.Pros: there were several good one-liners; introduced me to new comediansCons: excess foul language; adultry;,funni peopl worth timepro sever good onelin introduc new comedianscon excess foul languag adultri,0.9991,88
positive,"Very inspirational: So I just watched Funny People. For a movie that has an all star cast, it was a great movie. If you want to see a movie filled with laughs and a good story pick this movie up. I promise you won't regret it.",inspir watch funni peopl movi star cast great movi want see movi fill laugh good stori pick movi promis wont regret,0.9998,82
positive,Sfar's Best!: A delightfully funny story! A wonderful graphic novel that gives us a cat's-eye view of the Sephardic Jewish community in Algeria and then the Algerian community in Paris in the early 20th Century. It's a love story. Very funny and endearing. And the hero is a cat! This is a must for Joann Sfar fans.,sfar best delight funni stori wonder graphic novel give us catsey view sephard jewish communiti algeria algerian communiti pari earli 20th centuri love stori funni endear hero cat must joann sfar fan,0.9999,-1
positive,The Rabbi's Cat is the cat's meow!: This book came highly recommended to me by my Rabbi's husband. I was not disappointed! I think everyone will love this illustrated novel.Jorma,rabbi cat cat meow book came high recommend rabbi husband disappoint think everyon love illustr noveljorma,0.9997,-1
positive,"A wonderful, funny-sad book: The Rabbi's Cat is a wonderful book. I heard the author speak on NPR and got the book. The book is in the form of a comic strip, each box lovingly illustrated by the author. The pictures are wonderful, particularly of the cat. They are a joy to behold.Even better are the stories, anecdotes taken from the lives of the Jews in North Africa in the thirties. The stories are both very sad and hysterically funny. The cat has a sardonic turn of phrase that had me in stitches. Through the difficult medium of comics, the author has managed to capture the atmosphere of the time and place. Much of the book is given to musings about life, philosophy, love, God and so on. If you like a good discussion, you'll enjoy this book.Although the books can be enjoyed by non-Jews, I think if you don't know the basics of Judaism, you'll be missing the most vital part of the book. Of course, the book is so appropriate for the cat lover. The author clearly understands cats perfectly.",wonder funnysad book rabbi cat wonder book heard author speak npr got book book form comic strip box love illustr author pictur wonder particular cat joy beholdeven better stori anecdot taken live jew north africa thirti stori sad hyster funni cat sardon turn phrase stitch difficult medium comic author manag captur atmospher time place much book given muse life philosophi love god like good discuss youll enjoy bookalthough book enjoy nonjew think dont know basic judaism youll miss vital part book cours book appropri cat lover author clear understand cat perfect,0.9998,-1
positive,"good artwork too!: The review with all the details about the depth and levels of the story hits the mark so I won't repeat it. However, I will emphasize what was not commented on. The Author is a very talented artist. He takes risks on many pages and it works, resulting in a feast of creative colorful dynamic drawings to accompany the text. The story wanes a bit in the final pages but the trip is artistically very satisfying. I hope there is a book to follow. I really enjoyed the characters and how they delt with their world and their beliefs.",good artwork review detail depth level stori hit mark wont repeat howev emphas comment author talent artist take risk mani page work result feast creativ color dynam draw accompani text stori wane bit final page trip artist satisfi hope book follow realli enjoy charact delt world belief,0.9998,-1
positive,"Delightful, exotic world seen through a cat's eyes: ""The Rabbi's Cat,"" by French artist and filmmaker Joann Sfar, is a whimsical, charming fable featuring a rabbi, his lovely daughter, and a host of other characters headed by a talking cat. Both protagonist and narrator, the cat often acts as a Greek chorus who comments, often sardonically, on the actions of the humans around him. Set in pre-World War II Algeria, with a lengthy detour to Paris, the beautifully illustrated narrative depicts a richly diverse world in which individuals seek to preserve their traditions while constantly interacting with people of other cultural, social and religious backgrounds. In this multilayered environment, the presence of an intelligent talking cat does not seem entirely out of place.",delight exot world seen cat eye rabbi cat french artist filmmak joann sfar whimsic charm fabl featur rabbi love daughter host charact head talk cat protagonist narrat cat often act greek chorus comment often sardon action human around set preworld war ii algeria lengthi detour pari beauti illustr narrat depict rich divers world individu seek preserv tradit constant interact peopl cultur social religi background multilay environ presenc intellig talk cat seem entir place,0.9997,-1
negative,"Self-Serving Message: This is the tale of a kindly Rabbi, his sweet daughter and the cat who loves her. The tale seems promising at first, until it delves into bitterness over God and those who love Him and follow His laws. The cat represents the glorification of sin itself, and delights whenever the book's characters fall into ungodly habits, judging them forever as hypocrites (taking no account into repentance and future avoidance of said sin). As is the case with most humanist literature the story down spirals from that point until it ends with the Rabbi losing faith in God. At this point the cat is truly happy with the Rabbi, thus giving the tale a 'happy ending'. In short, 'The Rabbi's Cat' is a tale structured to appeal to secular humanists, atheists and pagans who want to feel better about their self-serving, do as you feel, lifestyles.One more note: This book, despite the beautiful artwork and appealing cover, is definitely not appropriate for children.",selfserv messag tale kind rabbi sweet daughter cat love tale seem promis first delv bitter god love follow law cat repres glorif sin delight whenev book charact fall ungod habit judg forev hypocrit take account repent futur avoid said sin case humanist literatur stori spiral point end rabbi lose faith god point cat truli happi rabbi thus give tale happi end short rabbi cat tale structur appeal secular humanist atheist pagan want feel better selfserv feel lifestyleson note book despit beauti artwork appeal cover definit appropri children,0.679,-1
negative,"Not what it looks like on the cover.: As someone who is interested in different cultures, I thought the book would be an interesting window into other people's thoughts. Instead, I open it to find a swearing cat (he uses the F word) denigrating religion and showing religious people as hypocrites, in a lame stereotypical way. Might be interesting to others, but its not interesting to me. Not only is it not suitable to children, but there are a lot of adults who would not want to be bothered with this kind of disrespect and vulgarity either. I wish I had been warned before I tried to read this book.",look like cover someon interest differ cultur thought book would interest window peopl thought instead open find swear cat use f word denigr religion show religi peopl hypocrit lame stereotyp way might interest other interest suitabl children lot adult would want bother kind disrespect vulgar either wish warn tri read book,0.9992,-1
positive,The Last dissenting Witness: The way Bill Sloan wrote Jean Hill's side of her story of the assassination was in perfect terms. Jean Hill was the closest person to President Kennedy when the shots were fired and she saw where the shots came from and the feds tried to cover everything up. I believe that Jean Hill really knew and saw what happened that day in November. Anyone who would like to find out information about the assassination I believe this is the right book to read and hear what was truly covered up.,last dissent wit way bill sloan wrote jean hill side stori assassin perfect term jean hill closest person presid kennedi shot fire saw shot came fed tri cover everyth believ jean hill realli knew saw happen day novemb anyon would like find inform assassin believ right book read hear truli cover,0.9992,454
negative,"See my article ""Jean Hill - The Lady in Red"" online: Since writing my review of JFK: THE LAST DISSENTING WITNESS in 1998, I have been able to have my 35-page article - ""Jean Hill -The Lady in Red"" - included in Clint Bradford's JFK Assassination website. The address is: http://www.jfk-info.com/sitemap1.htm (scroll down for title).",see articl jean hill ladi red onlin sinc write review jfk last dissent wit 1998 abl 35page articl jean hill ladi red includ clint bradford jfk assassin websit address httpwwwjfkinfocomsitemap1htm scroll titl,0.8857,454
negative,"Drivel: Jean Hill's story changed with the wind. She saw next to nothing during the assassination, but used her unique location (and her active imagination)to keep herself in the limelight for years. It got so bad that even the conspiracy writers were shying away from her toward the end. It was laughable.Someone needed to ask her about the ""little dog"" she said was sitting in the car with JFK and Jackie. (Look at the original interviews- she actually said it.)This book is BS from stem to stern. Go read a fairy tale, at least there's a moral at the end. The only thing you find at the end of this book is your wallet a little lighter!",drivel jean hill stori chang wind saw next noth assassin use uniqu locat activ imaginationto keep limelight year got bad even conspiraci writer shi away toward end laughablesomeon need ask littl dog said sit car jfk jacki look origin interview actual said itthi book bs stem stern go read fairi tale least there moral end thing find end book wallet littl lighter,0.9984,454
negative,"An Ever expanding story followed by same ol same ol: Very disappointing read. Starts with her tale of what she saw in 1963 then devolves into another ""MASSIVE GOVERNMENT CONSPIRACY"" work. Offering no documentation to support statements made. Unsupported statements about what her boyfriend said, claimed or saw. Lauds Garrison and his persecution of an innocent man in New Orleans. Originally I thought &#65533;The Assassination tapes&#65533; By George O&#65533;Toole was the worst effort in Conspiracy volumes but no more.",ever expand stori follow ol ol disappoint read start tale saw 1963 devolv anoth massiv govern conspiraci work offer document support statement made unsupport statement boyfriend said claim saw laud garrison persecut innoc man new orlean origin thought 65533the assassin tapes65533 georg o65533tool worst effort conspiraci volum,0.9997,-1
negative,"Uneducated Nonsense: The physics department at my school gets the mad ramblings of this man, and I usually end up with them (seeing as how no one else will read them). In a word, I sum these writings as ""nonsense."" Most of his ideas, aside from being mostly incoherant and physically absurd, also defy the time-tested and true concepts that the average high-school physics student could debunk. Furthermore, mixed in with these insane babblings, are religious and political ramblings, which he tries to pass off as the only possible truth.My recommendation, unless you want a good laugh or evidence of the under-education of many Americans, pass on this book. Any other use of your money would be a better one.",uneduc nonsens physic depart school get mad rambl man usual end see one els read word sum write nonsens idea asid most incoher physic absurd also defi timetest true concept averag highschool physic student could debunk furthermor mix insan babbl religi polit rambl tri pass possibl truthmi recommend unless want good laugh evid undereduc mani american pass book use money would better one,0.9934,287
positive,"Great Swords for a Great Price!: I ordered the set of swords on December 9th (Sunday) and recieved the swords today (Wednesday, the 12). The Shipping was absolutly BLAZING! UPS Shipped with a Tracking Number made me confident in Sword Demon. Packaging was great and everything was alright. I would deffiently buy from Sword Demon again.These swords are UNSHARPENED. It would appear that Stainless Steel is not very good for sharpening them either. These are really ""Wallhanger"" katana's, But when your buddies come over and see them, they almost cry. These are just the coolest swords because of the movie. All the symbols and words on the blades are actually etched. The symbols and the like are the exact same from the movie.",great sword great price order set sword decemb 9th sunday reciev sword today wednesday 12 ship absolut blaze up ship track number made confid sword demon packag great everyth alright would deffient buy sword demon againthes sword unsharpen would appear stainless steel good sharpen either realli wallhang katana buddi come see almost cri coolest sword movi symbol word blade actual etch symbol like exact movi,0.9713,-1
negative,"Fraud,not as advertised: This DVD was entiled ""Seventh Cliburn Competion, 1985"" It was not the competion program, and did not even contain the winning performance. I consider it to be a total fraud and misrepresentation.",fraudnot advertis dvd entil seventh cliburn compet 1985 compet program even contain win perform consid total fraud misrepresent,0.9997,18
negative,Impossible to read: This kindly adaptation is a mishmash of gibberish. Amazon really needs to take more time in converting these. In this condition this should be free.,imposs read kind adapt mishmash gibberish amazon realli need take time convert condit free,0.9992,-1
positive,"Nice size: Very good amount for the price. Smells nice too. However, the smell reminds me of clean laundry. I was wanting something a little different, a little younger. Still smells pretty good though. Curve smells better in the men cologne to me.",nice size good amount price smell nice howev smell remind clean laundri want someth littl differ littl younger still smell pretti good though curv smell better men cologn,0.9977,515
negative,"Still haven't received item: Bought for my mom for Christmas she loves this perfume and it does actually smell pretty good however I was supposed to recieve my order by the 20th at the latest.its now the night of the 22nd and I am very worried it wont be here for Christmas. UPDATE: Spoke with Amazons customer service and they are replacing my missing item. It will be here tomorrow. Still sucks cuz it wasn't here in time for christmas, however I'm just glad they are replacing it for me.",still havent receiv item bought mom christma love perfum actual smell pretti good howev suppos reciev order 20th latestit night 22nd worri wont christma updat spoke amazon custom servic replac miss item tomorrow still suck cuz wasnt time christma howev im glad replac,0.9953,255
positive,"Curve: It smells like Gap heaven, Very nice. Beautiful color and scent! Can't wait to try Curve Crush when i'm done with this one.",curv smell like gap heaven nice beauti color scent cant wait tri curv crush im done one,0.9997,515
positive,Good value: I love Curve and this is a large bottle which make is a very good value. Highly recommended.,good valu love curv larg bottl make good valu high recommend,0.9999,444
